SITE2021,Site2021_2,Occupancy,HighestSig,LastSurvey,Site2021NA,SITE2021_3,Site2021_1,Occupancy2021,HighestS_1,LastSurv_1,Site2021_4,Shape_Leng,Shape_Area,TalID,ShapeInd,JulyMax,JanMin,PrcpAnn,PrcpSeas,AET,PET,CWD,HeatLoad,Elev,Slope,Rugged,TPI990m,PTalus
550,550,UNOCCUPIED,OH,2018,Site2021_550,550,550,UNOCCUPIED,OH,2018,Site2021_550,690,5225,202648,2.3864149,27.29999924,-7.550000191,260.137793,0.388402802,289.5090027,500.4665894,210.9571991,0.915889597,1846,8.033111858,3.14832E-05,16.04169979,0.00805535
657,657,OCCUPIED,FH,2021,Site2021_657,657,657,OCCUPIED,FH,2021,Site2021_657,690,4475,236824,2.57865107,26.79000092,-6.559999943,288.105011,0.411733001,286.1417969,485.1941956,200.9391998,0.911186004,1841.4,7.262025833,3.89576E-05,-22.0605999,0.00962097
663,663,UNOCCUPIED,OH,2021,Site2021_663,663,663,UNOCCUPIED,OH,2021,Site2021_663,690,3725,238675,2.826350126,26.54000092,-6.75,284.8770081,0.412512201,267.4736023,462.6095947,194.6777954,0.867859221,1884.4,18.08968048,0.00038228,17.04078026,0.0106563
22,22,UNOCCUPIED,OH,2017,Site2021_22,22,22,UNOCCUPIED,OH,2017,Site2021_22,700,5800,171588,2.297862575,26.43199997,-6.003999996,314.5169983,0.432294995,319.7651978,546.0375854,225.6496002,0.969947803,2094.8,13.68398018,7.69852E-05,65.49568024,0.0191157
660,660,UNOCCUPIED,OH,2021,Site2021_660,660,660,UNOCCUPIED,OH,2021,Site2021_660,720,4550,234942,2.66849754,26.94000092,-6.58399992,288.151001,0.414646,267.5060059,482.6585999,215.1523987,0.898045599,1832.6,6.88791399,2.32458E-05,-10.17645798,0.00722204
464,464,OCCUPIED,FS,2021,Site2021_464,464,464,OCCUPIED,FS,2021,Site2021_464,750,3225,140767,3.301690899,27.44000053,-7.03000021,306.7099915,0.417914003,286.3476074,487.2092041,195.467395,0.887038004,1877.6,20.99251976,0.000453997,31.49967995,0.00446958
758,758,OCCUPIED,FH,2021,Site2021_758,758,758,OCCUPIED,FH,2021,Site2021_758,750,7675,287463,2.140238046,26.19600067,-7.006000042,266.8330078,0.381410003,287.7192017,446.0914001,165.0017944,0.839325213,1933.2,12.62644005,2.44737E-05,34.11129913,0.0541148
430,430,OCCUPIED,FS,2021,Site2021_430,430,430,OCCUPIED,FS,2021,Site2021_430,780,10575,208581,1.896244889,26.96999931,-6.900000095,314.0662537,0.413055211,307.4581604,496.7154541,188.6215393,0.938220131,1870.2,20.5970417,0.001097703,-0.230859375,0.00820686
432,432,OCCUPIED,PC,2021,Site2021_432,432,432,OCCUPIED,PC,2021,Site2021_432,780,10575,208581,1.896244889,26.96999931,-6.900000095,314.0662537,0.413055211,307.4581604,496.7154541,188.6215393,0.938220131,1870.2,20.5970417,0.001097703,-0.230859375,0.00820686
98,98,UNOCCUPIED,OH,2015,Site2021_98,98,98,UNOCCUPIED,OH,2015,Site2021_98,800,5975,178696,2.587384909,28.63400002,-7.246000004,261.5280151,0.404018998,233.5194031,529.1822144,295.6636047,0.919546604,1739.6,12.42938023,0.000123095,-6.259690475,0.0106058
594,594,UNOCCUPIED,OH,2019,Site2021_594,594,594,UNOCCUPIED,OH,2019,Site2021_594,800,15600,228788,1.601281538,27.09666634,-7.596666574,256.875,0.385029197,285.0436147,501.1723328,223.0011597,0.907643338,1798.833333,9.085065564,8.07047E-05,14.31479899,0.0214641
585,585,UNOCCUPIED,OH,2018,Site2021_585,585,585,UNOCCUPIED,OH,2018,Site2021_585,830,4600,266082,3.05942059,26.77000046,-7.059999943,269.3529968,0.376542985,291.7420044,480.5280029,188.7860016,0.898496997,1848.8,6.373091888,7.17759E-05,-0.667577055,0.00479786
632,632,OCCUPIED,FH,2017,Site2021_632,632,632,OCCUPIED,FH,2017,Site2021_632,850,4450,236538,3.185509678,27.04999924,-8.010000229,269.2210083,0.392637014,290.6090088,492.2860107,201.6759949,0.930541992,1851,5.816757965,5.05567E-05,-6.870166111,0.0140653
232,232,UNOCCUPIED,OH,2021,Site2021_232,232,232,UNOCCUPIED,OH,2021,Site2021_232,860,3850,116159,3.465038745,25.86000061,-6.920000076,374.2850037,0.426438987,311.8392029,502.6809998,190.841803,0.970087194,2142.6,21.1847805,0.0004583,36.07533989,0.0033585
278,278,UNOCCUPIED,PU,2021,Site2021_278,278,278,UNOCCUPIED,PU,2021,Site2021_278,860,10350,107746,2.113334705,26.40999985,-6.159999847,378.7174988,0.443237156,332.4701335,523.7094727,191.991394,0.973435998,1971.333333,14.29319255,5.9545E-05,-22.33976237,0.0366405
293,293,UNOCCUPIED,PU,2021,Site2021_293,293,293,UNOCCUPIED,PU,2021,Site2021_293,860,10350,107746,2.113334705,26.40999985,-6.159999847,378.7174988,0.443237156,332.4701335,523.7094727,191.991394,0.973435998,1971.333333,14.29319255,5.9545E-05,-22.33976237,0.0366405
591,591,UNOCCUPIED,OH,2018,Site2021_591,591,591,UNOCCUPIED,OH,2018,Site2021_591,870,4725,266954,3.164159408,26.94000053,-7.309999943,266.4881958,0.37649219,291.7420044,483.8447998,192.1028015,0.904699421,1842.8,6.893840027,6.33478E-05,3.459861612,0.0054039
437,437,UNOCCUPIED,OH,2021,Site2021_437,437,437,UNOCCUPIED,OH,2021,Site2021_437,890,4925,236966,3.170493724,26.26000023,-6.940000057,288.105011,0.411733001,269.8653931,471.852002,202.5774017,0.891202986,1899.4,15.00341988,0.000227833,15.74765968,0.00974723
554,554,UNOCCUPIED,OH,2021,Site2021_554,554,554,UNOCCUPIED,OH,2021,Site2021_554,930,5775,218460,3.059475382,27.35199928,-7.646000004,257.8429871,0.386649996,264.7149963,482.3120056,225.0608002,0.886418784,1831.6,9.023139954,5.6231E-05,10.34550009,0.0182066
25,25,UNOCCUPIED,OS,2017,Site2021_25,25,25,UNOCCUPIED,OS,2017,Site2021_25,940,5525,173458,3.161562132,26.06999969,-6.199999809,334.4534058,0.442054206,322.3454102,538.0650146,214.6138031,0.963311791,2087,18.36074028,5.50508E-05,29.29145966,0.0157067
627,627,UNOCCUPIED,OH,2021,Site2021_627,627,627,UNOCCUPIED,OH,2021,Site2021_627,960,7450,222491,2.780565343,27.15999985,-7.539999962,255.8159943,0.387281001,253.3248047,501.1031921,247.7784027,0.917887807,1819.2,9.836470222,4.62413E-05,21.43600025,0.0210601
402,402,UNOCCUPIED,OH,2020,Site2021_402,402,402,UNOCCUPIED,OH,2020,Site2021_402,970,5100,200769,3.395679204,26.56999969,-7.715999889,327.3720093,0.413722008,273.5483948,463.901001,188.4363983,0.881711197,2029,26.86500015,0.000516677,51.44630051,0.00558067
403,403,UNOCCUPIED,OH,2020,Site2021_403,403,403,UNOCCUPIED,OH,2020,Site2021_403,970,5100,200769,3.395679204,26.56999969,-7.715999889,327.3720093,0.413722008,273.5483948,463.901001,188.4363983,0.881711197,2029,26.86500015,0.000516677,51.44630051,0.00558067
